Region,Instance Type,API Name,Memory (MB),Disk (GB),Compute Units,Virtual Cores,Disk Type,OD Linux PPH,OD Windows PPH,OD RHEL PPH,OD SLES PPH,OD MsWinSQL PPH,OD MsWinSQLWeb PPH,year1 light linux Prepay,year1 light linux PPH,year1 light mswin Prepay,year1 light mswin PPH,year1 light rhel Prepay,year1 light rhel PPH,year1 light sles Prepay,year1 light sles PPH,year1 light mswinSQL Prepay,year1 light mswinSQL PPH,year1 light mswinSQLWeb Prepay,year1 light mswinSQLWeb PPH,year1 medium linux Prepay,year1 medium linux PPH,year1 medium mswin Prepay,year1 medium mswin PPH,year1 medium rhel Prepay,year1 medium rhel PPH,year1 medium sles Prepay,year1 medium sles PPH,year1 medium mswinSQL Prepay,year1 medium mswinSQL PPH,year1 medium mswinSQLWeb Prepay,year1 medium mswinSQLWeb PPH,year1 heavy linux Prepay,year1 heavy linux PPH,year1 heavy mswin Prepay,year1 heavy mswin PPH,year1 heavy rhel Prepay,year1 heavy rhel PPH,year1 heavy sles Prepay,year1 heavy sles PPH,year1 heavy mswinSQL Prepay,year1 heavy mswinSQL PPH,year1 heavy mswinSQLWeb Prepay,year1 heavy mswinSQLWeb PPH,year3 light linux Prepay,year3 light linux PPH,year3 light mswin Prepay,year3 light mswin PPH,year3 light rhel Prepay,year3 light rhel PPH,year3 light sles Prepay,year3 light sles PPH,year3 light mswinSQL Prepay,year3 light mswinSQL PPH,year3 light mswinSQLWeb Prepay,year3 light mswinSQLWeb PPH,year3 medium linux Prepay,year3 medium linux PPH,year3 medium mswin Prepay,year3 medium mswin PPH,year3 medium rhel Prepay,year3 medium rhel PPH,year3 medium sles Prepay,year3 medium sles PPH,year3 medium mswinSQL Prepay,year3 medium mswinSQL PPH,year3 medium mswinSQLWeb Prepay,year3 medium mswinSQLWeb PPH,year3 heavy linux Prepay,year3 heavy linux PPH,year3 heavy mswin Prepay,year3 heavy mswin PPH,year3 heavy rhel Prepay,year3 heavy rhel PPH,year3 heavy sles Prepay,year3 heavy sles PPH,year3 heavy mswinSQL Prepay,year3 heavy mswinSQL PPH,year3 heavy mswinSQLWeb Prepay,year3 heavy mswinSQLWeb PPH
us-east,M3 Medium Instance,m3.medium,3750.0,4,3,1,ssd,0.07,0.133,0.13,0.17,0.356,0.187,110.0,0.064,129.0,0.107,110.0,0.124,310.0,0.075,393.0,0.179,229.0,0.104,181.0,0.027,243.0,0.064,181.0,0.087,373.0,0.038,564.0,0.15,266.0,0.091,222.0,0.018,300.0,0.053,222.0,0.078,398.0,0.029,668.0,0.114,385.0,0.066,172.0,0.05,199.0,0.092,172.0,0.11,572.0,0.061,1061.0,0.161,570.0,0.086,286.0,0.022,394.0,0.059,286.0,0.082,670.0,0.033,1241.0,0.142,631.0,0.072,337.0,0.015,477.0,0.05,337.0,0.075,689.0,0.026,1731.0,0.099,882.0,0.05
us-east,M3 Large Instance,m3.large,7500.0,32,6,2,ssd,0.14,0.266,0.2,0.24,0.711,0.374,220.0,0.127,258.0,0.214,220.0,0.187,420.0,0.138,786.0,0.358,458.0,0.209,362.0,0.055,490.0,0.129,362.0,0.115,554.0,0.066,1129.0,0.301,506.0,0.174,443.0,0.037,602.0,0.106,443.0,0.097,619.0,0.048,1337.0,0.229,732.0,0.125,343.0,0.101,398.0,0.184,343.0,0.161,743.0,0.112,2122.0,0.322,1140.0,0.173,571.0,0.043,785.0,0.117,571.0,0.103,955.0,0.054,2481.0,0.283,1200.0,0.137,673.0,0.03,954.0,0.099,673.0,0.09,1025.0,0.041,3463.0,0.198,1677.0,0.096
us-east,M3 Extra Large Instance,m3.xlarge,15000.0,80,13,4,ssd,0.28,0.532,0.34,0.38,1.28,0.748,439.0,0.254,516.0,0.428,439.0,0.314,639.0,0.265,1571.0,0.716,915.0,0.417,724.0,0.109,980.0,0.258,724.0,0.169,916.0,0.12,2257.0,0.601,1012.0,0.347,886.0,0.074,1200.0,0.211,886.0,0.134,1062.0,0.085,2673.0,0.457,1464.0,0.251,686.0,0.201,795.0,0.367,686.0,0.261,1086.0,0.212,4244.0,0.644,2279.0,0.345,1142.0,0.086,1570.0,0.233,1142.0,0.146,1526.0,0.097,4962.0,0.566,2399.0,0.273,1345.0,0.06,1906.0,0.199,1345.0,0.12,1697.0,0.071,6925.0,0.395,3353.0,0.191
us-east,M3 Double Extra Large Instance,m3.2xlarge,30000.0,160,26,8,ssd,0.56,1.064,0.69,0.66,2.56,1.496,879.0,0.508,1032.0,0.857,879.0,0.638,1079.0,0.519,3135.0,1.432,1824.0,0.834,1448.0,0.219,1957.0,0.516,1448.0,0.349,1640.0,0.23,4157.0,1.108,2023.0,0.693,1772.0,0.146,2399.0,0.421,1772.0,0.276,1948.0,0.157,5036.0,0.862,2929.0,0.501,1372.0,0.401,1590.0,0.734,1372.0,0.531,1772.0,0.412,8466.0,1.289,4535.0,0.691,2283.0,0.173,3145.0,0.468,2283.0,0.303,2667.0,0.184,9146.0,1.045,4775.0,0.546,2691.0,0.12,3814.0,0.398,2691.0,0.25,3043.0,0.131,12940.0,0.738,6705.0,0.383
us-east,High-Compute Large,c3.large,3750.0,32,7,2,ssd,0.105,0.188,0.165,0.205,0.561,0.271,167.0,0.093,184.0,0.171,167.0,0.153,367.0,0.104,960.0,0.342,373.0,0.171,268.0,0.039,358.0,0.107,268.0,0.099,460.0,0.05,1206.0,0.3,402.0,0.137,326.0,0.026,435.0,0.091,326.0,0.086,502.0,0.037,1216.0,0.208,576.0,0.098,252.0,0.082,283.0,0.158,252.0,0.142,652.0,0.093,2352.0,0.329,999.0,0.153,414.0,0.034,566.0,0.105,414.0,0.094,798.0,0.045,2730.0,0.292,1017.0,0.116,508.0,0.022,689.0,0.089,508.0,0.082,860.0,0.033,3291.0,0.188,1405.0,0.08
us-east,High-Compute Extra Large,c3.xlarge,7500.0,80,14,4,ssd,0.21,0.376,0.27,0.31,1.066,0.542,333.0,0.186,368.0,0.342,333.0,0.246,533.0,0.197,1920.0,0.683,745.0,0.342,536.0,0.078,715.0,0.215,536.0,0.138,728.0,0.089,2291.0,0.57,805.0,0.275,652.0,0.053,868.0,0.182,652.0,0.113,828.0,0.064,2310.0,0.395,1152.0,0.198,503.0,0.164,565.0,0.317,503.0,0.224,903.0,0.175,4704.0,0.657,1998.0,0.305,827.0,0.068,1128.0,0.208,827.0,0.128,1211.0,0.079,5187.0,0.556,2033.0,0.232,1016.0,0.045,1395.0,0.18,1016.0,0.105,1368.0,0.056,6254.0,0.357,2809.0,0.16
us-east,High-Compute Double Extra Large,c3.2xlarge,15000.0,160,28,8,ssd,0.42,0.752,0.55,0.52,2.131,1.083,667.0,0.373,737.0,0.683,667.0,0.503,867.0,0.384,3840.0,1.366,1490.0,0.683,1072.0,0.157,1429.0,0.431,1072.0,0.287,1264.0,0.168,4582.0,1.141,1609.0,0.549,1304.0,0.104,1734.0,0.364,1304.0,0.234,1480.0,0.115,4622.0,0.79,2305.0,0.396,1006.0,0.327,1130.0,0.633,1006.0,0.457,1406.0,0.338,9408.0,1.314,3995.0,0.611,1655.0,0.137,2260.0,0.418,1655.0,0.267,2039.0,0.148,10373.0,1.112,4065.0,0.464,2031.0,0.09,2784.0,0.359,2031.0,0.22,2383.0,0.101,12507.0,0.713,5618.0,0.321
us-east,High-Compute Quadruple Extra Large,c3.4xlarge,30000.0,320,55,16,ssd,0.84,1.504,0.97,0.94,4.262,2.166,1333.0,0.745,1474.0,1.366,1333.0,0.875,1533.0,0.756,7680.0,2.732,2981.0,1.366,2145.0,0.313,2861.0,0.862,2145.0,0.443,2337.0,0.324,9164.0,2.281,3218.0,1.098,2608.0,0.209,3474.0,0.729,2608.0,0.339,2784.0,0.22,9243.0,1.581,4608.0,0.79,2012.0,0.654,2260.0,1.267,2012.0,0.784,2412.0,0.665,18816.0,2.629,7990.0,1.221,3310.0,0.272,4516.0,0.835,3310.0,0.402,3694.0,0.283,20747.0,2.222,8132.0,0.927,4063.0,0.18,5561.0,0.718,4063.0,0.31,4415.0,0.191,25014.0,1.428,11236.0,0.642
us-east,High-Compute Eight Extra Large,c3.8xlarge,60000.0,640,108,32,ssd,1.68,3.008,1.81,1.78,8.523,4.332,2666.0,1.49,2948.0,2.732,2666.0,1.62,2866.0,1.501,15359.0,5.465,5962.0,2.732,4289.0,0.626,5723.0,1.724,4289.0,0.756,4481.0,0.637,18327.0,4.562,6437.0,2.198,5216.0,0.417,6938.0,1.457,5216.0,0.547,5392.0,0.428,18485.0,3.163,9217.0,1.581,4024.0,1.308,4521.0,2.534,4024.0,1.438,4424.0,1.319,37633.0,5.258,15980.0,2.443,6619.0,0.545,9036.0,1.671,6619.0,0.675,7003.0,0.556,41493.0,4.444,16264.0,1.855,8126.0,0.359,11116.0,1.434,8126.0,0.489,8478.0,0.37,50028.0,2.856,22472.0,1.283
us-east,Cluster GPU Double Extra Large,g2.2xlarge,15000.0,60,26,8,ssd,0.65,0.767,0.78,0.75,3.816,0.957,1826.0,0.264,1836.0,0.389,1826.0,0.394,2026.0,0.278,3815.0,3.193,2147.0,0.572,1975.0,0.232,2036.0,0.349,1975.0,0.362,2167.0,0.245,4079.0,3.116,2419.0,0.513,2306.0,0.142,2974.0,0.183,2306.0,0.272,2482.0,0.154,11241.0,1.925,3483.0,0.265,4440.0,0.217,4826.0,0.341,4440.0,0.347,4840.0,0.231,21689.0,2.476,5334.0,0.474,5223.0,0.135,5364.0,0.306,5223.0,0.265,5607.0,0.148,25660.0,2.278,6005.0,0.424,6307.0,0.06,7131.0,0.146,6307.0,0.19,6659.0,0.072,37843.0,1.44,7734.0,0.196
