Region,Instance Type,API Name,Memory (MB),Disk (GB),Compute Units,Virtual Cores,Disk Type,OD Linux PPH,OD Windows PPH,OD RHEL PPH,OD SLES PPH,OD MsWinSQL PPH,OD MsWinSQLWeb PPH,year1 light linux Prepay,year1 light linux PPH,year1 light mswin Prepay,year1 light mswin PPH,year1 light rhel Prepay,year1 light rhel PPH,year1 light sles Prepay,year1 light sles PPH,year1 light mswinSQL Prepay,year1 light mswinSQL PPH,year1 light mswinSQLWeb Prepay,year1 light mswinSQLWeb PPH,year1 medium linux Prepay,year1 medium linux PPH,year1 medium mswin Prepay,year1 medium mswin PPH,year1 medium rhel Prepay,year1 medium rhel PPH,year1 medium sles Prepay,year1 medium sles PPH,year1 medium mswinSQL Prepay,year1 medium mswinSQL PPH,year1 medium mswinSQLWeb Prepay,year1 medium mswinSQLWeb PPH,year1 heavy linux Prepay,year1 heavy linux PPH,year1 heavy mswin Prepay,year1 heavy mswin PPH,year1 heavy rhel Prepay,year1 heavy rhel PPH,year1 heavy sles Prepay,year1 heavy sles PPH,year1 heavy mswinSQL Prepay,year1 heavy mswinSQL PPH,year1 heavy mswinSQLWeb Prepay,year1 heavy mswinSQLWeb PPH,year3 light linux Prepay,year3 light linux PPH,year3 light mswin Prepay,year3 light mswin PPH,year3 light rhel Prepay,year3 light rhel PPH,year3 light sles Prepay,year3 light sles PPH,year3 light mswinSQL Prepay,year3 light mswinSQL PPH,year3 light mswinSQLWeb Prepay,year3 light mswinSQLWeb PPH,year3 medium linux Prepay,year3 medium linux PPH,year3 medium mswin Prepay,year3 medium mswin PPH,year3 medium rhel Prepay,year3 medium rhel PPH,year3 medium sles Prepay,year3 medium sles PPH,year3 medium mswinSQL Prepay,year3 medium mswinSQL PPH,year3 medium mswinSQLWeb Prepay,year3 medium mswinSQLWeb PPH,year3 heavy linux Prepay,year3 heavy linux PPH,year3 heavy mswin Prepay,year3 heavy mswin PPH,year3 heavy rhel Prepay,year3 heavy rhel PPH,year3 heavy sles Prepay,year3 heavy sles PPH,year3 heavy mswinSQL Prepay,year3 heavy mswinSQL PPH,year3 heavy mswinSQLWeb Prepay,year3 heavy mswinSQLWeb PPH
eu-ireland,Cluster GPU Quadruple Extra Large,cg1.4xlarge,22500.0,1690,33,16,ephemeral,2.36,2.6,2.48,2.46,3.85,2.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-ireland,Hi-Memory Extra Large,m2.xlarge,17100.0,420,6,2,ephemeral,0.46,0.51,0.52,0.56,1.084,0.61,272.0,0.206,353.0,0.368,272.0,0.266,472.0,0.22,1480.0,0.675,650.0,0.3,651.0,0.13,850.0,0.265,651.0,0.19,843.0,0.143,1780.0,0.611,740.0,0.256,789.0,0.102,1030.0,0.228,789.0,0.162,965.0,0.114,2180.0,0.373,1040.0,0.178,398.0,0.166,548.0,0.31,398.0,0.226,798.0,0.18,4100.0,0.624,1610.0,0.24,992.0,0.104,1283.0,0.228,992.0,0.164,1376.0,0.117,4850.0,0.553,1730.0,0.198,1198.0,0.083,1550.0,0.198,1198.0,0.143,1550.0,0.095,5730.0,0.327,2320.0,0.132
eu-ireland,Hi-Memory Double Extra Large,m2.2xlarge,34200.0,850,13,4,ephemeral,0.92,1.02,0.98,1.02,1.654,1.18,544.0,0.412,706.0,0.735,544.0,0.512,744.0,0.426,2220.0,0.91,1230.0,0.56,1302.0,0.26,1700.0,0.53,1302.0,0.36,1494.0,0.273,3200.0,0.726,1400.0,0.479,1578.0,0.204,2060.0,0.455,1578.0,0.304,1754.0,0.216,3140.0,0.538,2000.0,0.343,796.0,0.332,1096.0,0.62,796.0,0.432,1196.0,0.346,5100.0,0.82,3010.0,0.46,1984.0,0.208,2566.0,0.456,1984.0,0.308,2368.0,0.221,6560.0,0.67,3200.0,0.366,2396.0,0.166,3100.0,0.396,2396.0,0.266,2748.0,0.178,7820.0,0.446,4410.0,0.252
eu-ireland,Hi-Memory Quadruple Extra Large,m2.4xlarge,68400.0,1690,26,8,ephemeral,1.84,2.04,1.94,1.94,3.307,2.36,1088.0,0.824,1412.0,1.47,1088.0,0.924,1288.0,0.838,4440.0,1.82,2460.0,1.12,2604.0,0.52,3400.0,1.06,2604.0,0.62,2796.0,0.533,6400.0,1.452,2800.0,0.959,3156.0,0.408,4120.0,0.91,3156.0,0.508,3332.0,0.42,6280.0,1.076,4010.0,0.686,1592.0,0.664,2192.0,1.24,1592.0,0.764,1992.0,0.678,10200.0,1.64,6010.0,0.91,3968.0,0.416,5132.0,0.912,3968.0,0.516,4352.0,0.429,13120.0,1.34,6410.0,0.732,4792.0,0.332,6200.0,0.792,4792.0,0.432,5144.0,0.344,15640.0,0.893,8820.0,0.504
eu-ireland,High-Memory Cluster Eight Extra Large,cr1.8xlarge,244000.0,240,88,32,ssd,3.75,3.831,3.87,3.85,7.25,4.044,2474.0,1.988,2474.0,2.409,2474.0,2.118,2674.0,2.002,7565.0,6.102,3213.0,2.592,5958.0,1.152,5958.0,1.746,5958.0,1.282,6150.0,1.165,19834.0,4.436,7973.0,1.783,7220.0,0.742,7220.0,1.395,7220.0,0.872,7396.0,0.754,25967.0,3.529,9942.0,1.351,3846.0,1.536,3846.0,1.98,3846.0,1.666,4246.0,1.55,14363.0,5.854,5373.0,2.19,9006.0,1.014,9006.0,1.418,9006.0,1.144,9390.0,1.027,38061.0,4.586,12789.0,1.54,10880.0,0.746,10880.0,1.13,10880.0,0.876,11232.0,0.758,55037.0,3.724,17129.0,1.159
eu-ireland,High I/O Extra Large,i2.xlarge,30500.0,720,14,4,ssd,0.938,0.973,0.998,1.038,1.23,0.993,644.0,0.651,644.0,0.63,644.0,0.711,844.0,0.751,1706.0,1.023,1031.0,0.471,1493.0,0.345,1493.0,0.477,1493.0,0.405,1685.0,0.445,2034.0,0.929,1190.0,0.408,1820.0,0.233,1820.0,0.396,1820.0,0.293,1996.0,0.333,2299.0,0.558,1817.0,0.287,971.0,0.509,971.0,0.519,971.0,0.569,1371.0,0.609,4496.0,0.898,2471.0,0.376,2283.0,0.256,2283.0,0.392,2283.0,0.316,2667.0,0.356,5217.0,0.794,2686.0,0.307,2740.0,0.186,2740.0,0.327,2740.0,0.246,3092.0,0.286,5443.0,0.44,2897.0,0.245
eu-ireland,High I/O Double Extra Large,i2.2xlarge,61000.0,1440,27,8,ssd,1.876,1.946,2.006,1.976,2.459,1.986,1288.0,1.303,1288.0,1.26,1288.0,1.363,1488.0,1.403,3412.0,2.045,2062.0,0.942,2987.0,0.69,2987.0,0.954,2987.0,0.75,3179.0,0.79,4068.0,1.858,2380.0,0.815,3640.0,0.466,3640.0,0.793,3640.0,0.526,3816.0,0.566,4599.0,1.116,3635.0,0.573,1942.0,1.018,1942.0,1.037,1942.0,1.078,2342.0,1.118,8992.0,1.797,4942.0,0.752,4567.0,0.511,4567.0,0.784,4567.0,0.571,4951.0,0.611,10435.0,1.588,5372.0,0.613,5480.0,0.371,5480.0,0.654,5480.0,0.431,5832.0,0.471,10886.0,0.881,5794.0,0.491
eu-ireland,High I/O Quadruple Extra Large,i2.4xlarge,122000.0,2880,53,16,ssd,3.751,3.891,3.881,3.851,4.918,3.971,2576.0,2.605,2576.0,2.52,2576.0,2.665,2776.0,2.705,6824.0,4.09,4124.0,1.883,5973.0,1.379,5973.0,1.907,5973.0,1.439,6165.0,1.479,8135.0,3.715,4760.0,1.63,7280.0,0.931,7280.0,1.585,7280.0,0.991,7456.0,1.031,9197.0,2.231,7269.0,1.146,3884.0,2.035,3884.0,2.074,3884.0,2.095,4284.0,2.135,17984.0,3.593,9884.0,1.504,9133.0,1.022,9133.0,1.568,9133.0,1.082,9517.0,1.122,20869.0,3.176,10744.0,1.226,10960.0,0.742,10960.0,1.307,10960.0,0.802,11312.0,0.842,21772.0,1.761,11587.0,0.981
eu-ireland,High I/O Eight Extra Large,i2.8xlarge,244000.0,5760,104,32,ssd,7.502,7.782,7.632,7.602,9.836,7.942,5152.0,5.21,5152.0,5.04,5152.0,5.27,5352.0,5.31,13648.0,8.18,8248.0,3.766,11946.0,2.758,11946.0,3.814,11946.0,2.818,12138.0,2.858,16270.0,7.43,9520.0,3.26,14560.0,1.862,14560.0,3.17,14560.0,1.922,14736.0,1.962,18394.0,4.462,14538.0,2.292,7768.0,4.07,7768.0,4.148,7768.0,4.13,8168.0,4.17,35968.0,7.186,19768.0,3.008,18266.0,2.044,18266.0,3.136,18266.0,2.104,18650.0,2.144,41738.0,6.352,21488.0,2.452,21920.0,1.484,21920.0,2.614,21920.0,1.544,22272.0,1.584,43544.0,3.522,23174.0,1.962
eu-ireland,High-Storage Eight Extra Large,hs1.8xlarge,117000.0,48000,35,16,ephemeral,4.9,4.931,5.02,5.0,8.35,5.144,3968.0,3.09,3968.0,3.327,3968.0,3.22,4168.0,3.104,9493.36,6.97,4770.19,3.502,9200.0,1.809,9200.0,2.401,9200.0,1.939,9392.0,1.822,23395.83,5.054,11261.0,2.433,11213.0,1.163,11213.0,1.883,11213.0,1.293,11389.0,1.175,30324.1,3.976,13987.21,1.834,5997.0,2.396,5997.0,2.733,5997.0,2.526,6397.0,2.41,17030.36,6.587,7598.86,2.939,14103.0,1.581,14103.0,1.935,14103.0,1.711,14487.0,1.594,54729.04,4.663,22220.69,1.893,16924.0,1.166,16924.0,1.524,16924.0,1.296,17276.0,1.178,70252.86,3.769,26558.85,1.425
